Unif,Player,Th,Age,W,L,ERA,G,GS,GR,CG,SHO,GF,SV,IP,H,R,ER,HR,BB,SO,WP,BK,HB,WHIP,H9,HR9,BB9,SO9,K-BB,RA9,WPct,Ê,
35,Aaron Shortridge,R,21,5,3,2.77,17,12,5,3,1,0,2,91,89,30,28,6,14,74,7,1,0,1.13,8.8,0.59,1.38,7.32,5.29,2.97,0.625,Ê,Ê
24,Matt Ladrech,L,22,7,5,5.12,15,15,0,0,0,0,0,77.1,104,54,44,7,13,53,5,0,0,1.52,12.1,0.81,1.51,6.17,4.08,6.28,0.583,Ê,Ê
21,Jared Horn,R,19,5,5,6.15,15,15,0,0,0,0,0,71.2,81,60,49,4,41,52,10,3,0,1.71,10.17,0.5,5.15,6.53,1.27,7.53,0.5,Ê,Ê
16,Joey Matulovich,R,20,1,1,3.47,19,5,14,0,0,0,0,46.2,41,23,18,5,25,45,6,0,0,1.43,7.91,0.96,4.82,8.68,1.8,4.44,0.5,Ê,
40,Arman Sabouri,L,20,5,2,3.07,20,0,20,0,0,0,1,44,27,17,15,2,11,48,1,0,0,0.86,5.52,0.41,2.25,9.82,4.36,3.48,0.714,Ê,Ê
10,Tanner Dodson,R,21,2,1,2.48,19,0,19,0,0,0,11,40,36,13,11,3,7,35,3,0,0,1.08,8.1,0.68,1.58,7.88,5,2.93,0.667,Ê,Ê
27,Rogelio Reyes,,20,3,2,8.26,11,6,5,0,0,0,0,28.1,44,29,26,6,11,27,2,0,0,1.96,13.98,1.91,3.49,8.58,2.45,9.21,0.6,Ê,Ê
44,Zayne Patino,L,22,3,1,3.54,17,0,17,0,0,0,0,28,28,16,11,1,13,24,2,0,0,1.46,9,0.32,4.18,7.71,1.85,5.14,0.75,Ê,Ê
33,Erik Martinez,R,22,1,0,4.07,18,0,18,0,0,0,0,24.1,20,15,11,0,19,28,3,1,0,1.62,7.4,0,7.03,10.36,1.47,5.55,1,Ê,Ê
32,Andrew Buckley,R,23,0,2,5.5,16,1,15,0,0,0,0,18,16,12,11,1,14,14,2,1,0,1.67,8,0.5,7,7,1,6,0,Ê,Ê
23,Carson Olson,,19,0,0,1.23,6,0,6,0,0,0,0,7.1,5,1,1,0,4,5,0,0,0,1.27,6.14,0,4.91,6.14,1.25,1.23,0,,
45,Kevin Flemer,R,23,0,0,0,2,0,2,0,0,0,0,2,1,1,0,0,1,0,0,0,0,1,4.5,0,4.5,0,0,4.5,0,,
50,Conor Neumann,L,22,0,0,0,2,0,2,0,0,0,0,2,1,0,0,0,4,4,1,0,0,2.5,4.5,0,18,18,1,0,0,,
25,Korey Lee,R,19,0,0,9,1,0,1,0,0,0,0,1,2,1,1,0,1,1,0,0,0,3,18,0,9,9,1,9,0,,
41,Connor Jackson,R,20,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20,Andrew Vaughn,R,20,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,9,0,0,0,0,,
39,Reuben Drogin,R,19,0,0,0,2,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,18,0,0,0,0,9,0,,
