Inn,AB,Pitch,Pitcher,Batter,Type,Pitch Spd,Result,Hit Spd
1,1,1,Rogelio Reyes,Evan Berkey,2 Seam,87.1,Called Strike,-
1,1,2,Rogelio Reyes,Evan Berkey,Changeup,77.7,Ball,-
1,1,3,Rogelio Reyes,Evan Berkey,2 Seam,89,Ball,-
1,1,4,Rogelio Reyes,Evan Berkey,2 Seam,88.4,Hit Into Play - Out,90.1
1,2,1,Rogelio Reyes,Noah Barba,2 Seam,89.3,Called Strike,-
1,2,2,Rogelio Reyes,Noah Barba,Changeup,80,Swinging Strike,-
1,2,3,Rogelio Reyes,Noah Barba,2 Seam,89.1,Called Strike,-
1,3,1,Rogelio Reyes,Andrew Penner,2 Seam,89.2,Ball,-
1,3,2,Rogelio Reyes,Andrew Penner,Changeup,80.6,Called Strike,-
1,3,3,Rogelio Reyes,Andrew Penner,Changeup,79.8,Foul,-
1,3,4,Rogelio Reyes,Andrew Penner,2 Seam,89.4,Ball,-
1,3,5,Rogelio Reyes,Andrew Penner,Curve,72.4,Called Strike,-
1,4,1,Jordan Ragan,Tyrus Greene,4 Seam,83.2,Called Strike,-
1,4,2,Jordan Ragan,Tyrus Greene,4 Seam,81.1,Ball,-
1,4,3,Jordan Ragan,Tyrus Greene,4 Seam,84.2,Ball,-
1,4,4,Jordan Ragan,Tyrus Greene,4 Seam,82.6,Ball,-
1,4,5,Jordan Ragan,Tyrus Greene,4 Seam,83.1,Called Strike,-
1,4,6,Jordan Ragan,Tyrus Greene,4 Seam,82.8,Hit Into Play - Out,65.7
1,5,1,Jordan Ragan,Darren Baker,4 Seam,83,Hit Into Play - Out,91.6
1,6,1,Jordan Ragan,Andrew Vaughn,4 Seam,84.1,Ball,-
1,6,2,Jordan Ragan,Andrew Vaughn,4 Seam,85.2,Ball,-
1,6,3,Jordan Ragan,Andrew Vaughn,2 Seam,83,Ball,-
1,6,4,Jordan Ragan,Andrew Vaughn,4 Seam,83.2,Called Strike,-
1,6,5,Jordan Ragan,Andrew Vaughn,Changeup,76,Called Strike,-
1,6,6,Jordan Ragan,Andrew Vaughn,Slider,75.6,Ball,-
1,7,1,Jordan Ragan,Tanner Dodson,4 Seam,82.7,Ball,-
1,7,2,Jordan Ragan,Tanner Dodson,Changeup,75.1,Ball,-
1,7,3,Jordan Ragan,Tanner Dodson,4 Seam,81.1,Hit Into Play,-
1,8,1,Jordan Ragan,Max Flower,Slider,74.8,Ball,-
1,8,2,Jordan Ragan,Max Flower,4 Seam,82.4,Hit Into Play - Run Scored,-
1,9,1,Jordan Ragan,Jonah Davis,4 Seam,82.5,Called Strike,-
1,9,2,Jordan Ragan,Jonah Davis,Curve,72.6,Ball,-
1,9,3,Jordan Ragan,Jonah Davis,2 Seam,81.5,Foul,-
1,9,4,Jordan Ragan,Jonah Davis,Slider,74.5,Ball,-
1,9,5,Jordan Ragan,Jonah Davis,4 Seam,82.9,Ball,-
1,9,6,Jordan Ragan,Jonah Davis,4 Seam,81.4,Foul,-
1,9,7,Jordan Ragan,Jonah Davis,4 Seam,83.4,Hit Into Play - Run Scored,-
1,10,1,Jordan Ragan,Korey Lee,Changeup,74.3,Called Strike,-
1,10,2,Jordan Ragan,Korey Lee,Cutter,76.2,Called Strike,-
1,10,3,Jordan Ragan,Korey Lee,Cutter,82.7,Ball,-
1,10,4,Jordan Ragan,Korey Lee,4 Seam,81.7,Foul,-
