Inn,AB,Pitch,Pitcher,Batter,Type,Pitch Spd,Result,Hit Spd
1,1,1,Matt Ladrech,Mark Pena,4 Seam,81.7,Hit Into Play - Out,-
1,2,1,Matt Ladrech,Noah Barba,Cutter,69.1,Ball,-
1,2,2,Matt Ladrech,Noah Barba,4 Seam,81.6,Foul,-
1,2,3,Matt Ladrech,Noah Barba,Slider,70.8,Ball,-
1,2,4,Matt Ladrech,Noah Barba,Changeup,80.3,Hit Into Play - Out,-
1,3,1,Matt Ladrech,Andrew Penner,Slider,71.2,Called Strike,-
1,3,2,Matt Ladrech,Andrew Penner,4 Seam,81.8,Ball,-
1,3,3,Matt Ladrech,Andrew Penner,2 Seam,82,Called Strike,-
1,3,4,Matt Ladrech,Andrew Penner,2 Seam,83,Hit Into Play - Out,-
1,4,1,Ben Cutting,Tyrus Greene,Cutter,83.7,Ball,-
1,4,2,Ben Cutting,Tyrus Greene,Cutter,82.5,Ball,-
1,4,3,Ben Cutting,Tyrus Greene,Cutter,82.9,Ball,-
1,4,4,Ben Cutting,Tyrus Greene,Cutter,83.4,Called Strike,-
1,4,5,Ben Cutting,Tyrus Greene,Cutter,84.1,Called Strike,-
1,4,6,Ben Cutting,Tyrus Greene,Cutter,84.6,Hit Into Play - Out,-
1,5,1,Ben Cutting,Darren Baker,Cutter,84.2,Ball,-
1,5,2,Ben Cutting,Darren Baker,Cutter,84.4,Ball,-
1,5,3,Ben Cutting,Darren Baker,Cutter,84.5,Ball,-
1,5,4,Ben Cutting,Darren Baker,Cutter,84.5,Called Strike,-
1,5,5,Ben Cutting,Darren Baker,Cutter,83.9,Foul,-
1,5,6,Ben Cutting,Darren Baker,Cutter,81.2,Hit Into Play - Out,-
1,6,1,Ben Cutting,Andrew Vaughn,Slider,79.5,Ball,-
1,6,2,Ben Cutting,Andrew Vaughn,Cutter,84.3,Hit Into Play,105.3
2,8,1,Matt Ladrech,Ryan Koch,4 Seam,82.3,Called Strike,-
2,8,2,Matt Ladrech,Ryan Koch,Changeup,72.4,Ball,-
2,8,3,Matt Ladrech,Ryan Koch,Slider,72.1,Foul,-
2,8,4,Matt Ladrech,Ryan Koch,4 Seam,82.7,Hit Into Play,78.1
2,9,1,Matt Ladrech,Luis Martinez,4 Seam,81.9,Hit Into Play,-
2,10,1,Matt Ladrech,Jassen Oliver,Slider,67.4,Hit Into Play - Run Scored,-
2,11,1,Matt Ladrech,Evan Berkey,Changeup,72.9,Ball,-
2,11,2,Matt Ladrech,Evan Berkey,4 Seam,81.1,Foul,-
2,11,3,Matt Ladrech,Evan Berkey,Slider,69.7,Hit Into Play - Out,56.4
2,12,1,Matt Ladrech,Daniel Nist,Cutter,72.5,Hit Into Play - Out,92.9
2,13,1,Ben Cutting,Max Flower,Cutter,82.3,Hit Into Play - Out,-
2,14,1,Ben Cutting,Jonah Davis,Slider,79.4,Ball,-
2,14,2,Ben Cutting,Jonah Davis,Slider,79.2,Ball,-
2,14,3,Ben Cutting,Jonah Davis,Slider,78,Called Strike,-
2,14,4,Ben Cutting,Jonah Davis,Cutter,80.7,Ball,-
2,14,5,Ben Cutting,Jonah Davis,Cutter,80.1,Hit Into Play - Out,-
2,15,1,Ben Cutting,Korey Lee,Cutter,83.5,Ball,-
2,15,2,Ben Cutting,Korey Lee,Slider,80.2,Swinging Strike,-
2,15,3,Ben Cutting,Korey Lee,Cutter,81.4,Swinging Strike,-
2,15,4,Ben Cutting,Korey Lee,Slider,74.3,Ball,-
2,15,5,Ben Cutting,Korey Lee,4 Seam,80.1,Foul,-
2,15,6,Ben Cutting,Korey Lee,Cutter,80.1,Foul,-
2,15,7,Ben Cutting,Korey Lee,Slider,79.1,Hit Into Play - Out,40
3,16,1,Matt Ladrech,Trent Anderson,4 Seam,81.8,Called Strike,-
3,16,2,Matt Ladrech,Trent Anderson,4 Seam,81.2,Hit Into Play - Out,-
3,17,1,Matt Ladrech,Mark Pena,Cutter,71.8,Ball,-
3,17,2,Matt Ladrech,Mark Pena,4 Seam,81.6,Hit Into Play - Out,-
3,18,1,Matt Ladrech,Noah Barba,4 Seam,81.7,Ball,-
3,18,2,Matt Ladrech,Noah Barba,4 Seam,80.5,Called Strike,-
3,18,3,Matt Ladrech,Noah Barba,Cutter,73.5,Hit Into Play - Out,67.7
3,19,1,Ben Cutting,Ripken Reyes,Cutter,82.9,Called Strike,-
3,19,2,Ben Cutting,Ripken Reyes,Slider,78.5,Foul,-
3,19,3,Ben Cutting,Ripken Reyes,Slider,73.1,Ball,-
3,19,4,Ben Cutting,Ripken Reyes,Curve,71.5,Ball,-
3,19,5,Ben Cutting,Ripken Reyes,Cutter,83,Foul,-
3,19,6,Ben Cutting,Ripken Reyes,Slider,79.3,Hit Into Play - Out,-
3,20,1,Ben Cutting,Cameron Eden,Cutter,83.2,Ball,-
3,20,2,Ben Cutting,Cameron Eden,Cutter,84.2,Ball,-
3,20,3,Ben Cutting,Cameron Eden,Cutter,84,Ball,-
3,20,4,Ben Cutting,Cameron Eden,Cutter,83.7,Called Strike,-
3,20,5,Ben Cutting,Cameron Eden,Cutter,83.3,Hit Into Play - Out,60.1
3,21,1,Ben Cutting,Tyrus Greene,Cutter,80.7,Foul,-
3,21,2,Ben Cutting,Tyrus Greene,Curve,73.3,Ball,-
3,21,3,Ben Cutting,Tyrus Greene,Cutter,83.4,Ball,-
3,21,4,Ben Cutting,Tyrus Greene,Cutter,82.5,Hit Into Play,98.5
3,22,1,Ben Cutting,Darren Baker,Cutter,82.8,Ball,-
3,22,2,Ben Cutting,Darren Baker,Cutter,81.3,Ball,-
3,22,3,Ben Cutting,Darren Baker,Cutter,83.5,Called Strike,-
3,22,4,Ben Cutting,Darren Baker,Cutter,83.4,Ball,-
3,22,5,Ben Cutting,Darren Baker,Cutter,83.8,Called Strike,-
3,22,6,Ben Cutting,Darren Baker,Cutter,83.7,Hit Into Play - Out,-
4,23,1,Matt Ladrech,Andrew Penner,4 Seam,82.4,Hit Into Play,-
4,24,1,Matt Ladrech,Ryan Koch,Cutter,72.1,Called Strike,-
4,24,2,Matt Ladrech,Ryan Koch,Changeup,73.4,Ball,-
4,24,3,Matt Ladrech,Ryan Koch,4 Seam,81.4,Ball,-
4,24,4,Matt Ladrech,Ryan Koch,Cutter,69.6,Foul,66
4,24,5,Matt Ladrech,Ryan Koch,Cutter,72.1,Foul,-
4,24,6,Matt Ladrech,Ryan Koch,4 Seam,81.4,Hit Into Play - Out,89.5
4,25,1,Matt Ladrech,Luis Martinez,Changeup,72.3,Foul,-
4,25,2,Matt Ladrech,Luis Martinez,2 Seam,80.5,Swinging Strike,-
4,25,3,Matt Ladrech,Luis Martinez,Changeup,78.5,Ball,-
4,25,4,Matt Ladrech,Luis Martinez,2 Seam,81,Foul,64.4
4,25,5,Matt Ladrech,Luis Martinez,Cutter,80.5,Foul,-
4,25,6,Matt Ladrech,Luis Martinez,Cutter,70.7,Swinging Strike,-
4,26,1,Matt Ladrech,Jassen Oliver,Curve,68.3,Swinging Strike,-
4,26,2,Matt Ladrech,Jassen Oliver,Changeup,70.4,Swinging Strike,-
4,26,3,Matt Ladrech,Jassen Oliver,Cutter,68.8,Hit Into Play - Out,70.6
4,27,1,Ben Cutting,Andrew Vaughn,Slider,71.8,Called Strike,-
4,27,2,Ben Cutting,Andrew Vaughn,Cutter,79.4,Swinging Strike,-
4,27,3,Ben Cutting,Andrew Vaughn,Cutter,79.8,Foul,-
4,27,4,Ben Cutting,Andrew Vaughn,Slider,80.2,Hit Into Play - Out,-
4,28,1,Ben Cutting,Tanner Dodson,Cutter,82.9,Hit Into Play,-
4,29,1,Ben Cutting,Max Flower,Cutter,82.2,Called Strike,-
4,29,2,Ben Cutting,Max Flower,Slider,77.7,Called Strike,-
4,29,3,Ben Cutting,Max Flower,Cutter,79.5,Ball,-
4,29,4,Ben Cutting,Max Flower,Curve,69.8,Foul,-
4,29,5,Ben Cutting,Max Flower,Cutter,83.9,Swinging Strike,-
4,30,1,Ben Cutting,Jonah Davis,Cutter,81.8,Ball,-
4,30,2,Ben Cutting,Jonah Davis,Slider,79,Ball,-
4,30,3,Ben Cutting,Jonah Davis,Slider,77.5,Foul,-
4,30,4,Ben Cutting,Jonah Davis,Cutter,82.2,Ball,-
4,30,5,Ben Cutting,Jonah Davis,Slider,79.4,Foul,-
4,30,6,Ben Cutting,Jonah Davis,Curve,71.4,Called Strike,-
5,31,1,Matt Ladrech,Evan Berkey,Slider,72.2,Ball,-
5,31,2,Matt Ladrech,Evan Berkey,Cutter,71.8,Called Strike,-
5,31,3,Matt Ladrech,Evan Berkey,4 Seam,82,Ball,-
5,31,4,Matt Ladrech,Evan Berkey,Cutter,70.2,Ball,-
5,31,5,Matt Ladrech,Evan Berkey,4 Seam,79.3,Called Strike,-
5,31,6,Matt Ladrech,Evan Berkey,4 Seam,79,Foul,-
5,31,7,Matt Ladrech,Evan Berkey,2 Seam,80.2,Hit Into Play,-
5,32,1,Matt Ladrech,Daniel Nist,Changeup,80,Ball,-
5,32,2,Matt Ladrech,Daniel Nist,Slider,69.2,Ball,-
5,32,3,Matt Ladrech,Daniel Nist,Cutter,71.4,Ball,-
5,32,4,Matt Ladrech,Daniel Nist,Changeup,78.2,Called Strike,-
5,32,5,Matt Ladrech,Daniel Nist,Changeup,78.3,Called Strike,-
5,32,6,Matt Ladrech,Daniel Nist,Changeup,78.7,Hit Into Play - Out,-
5,33,1,Matt Ladrech,Trent Anderson,4 Seam,79.6,Called Strike,-
5,33,2,Matt Ladrech,Trent Anderson,Cutter,70.3,Called Strike,-
5,33,3,Matt Ladrech,Trent Anderson,2 Seam,80.4,Ball,-
5,33,4,Matt Ladrech,Trent Anderson,Slider,68.2,Swinging Strike,-
5,34,1,Matt Ladrech,Mark Pena,4 Seam,82.3,Hit Into Play - Out,91.2
5,35,1,Ben Cutting,Korey Lee,Cutter,82.5,Ball,-
5,35,2,Ben Cutting,Korey Lee,Cutter,83.5,Hit Into Play,-
5,36,1,Ben Cutting,Ripken Reyes,Curve,71.4,Ball,-
5,36,2,Ben Cutting,Ripken Reyes,Cutter,83.2,Called Strike,-
5,36,3,Ben Cutting,Ripken Reyes,Cutter,81.2,Ball,-
5,36,4,Ben Cutting,Ripken Reyes,Slider,79.6,Foul,-
5,36,5,Ben Cutting,Ripken Reyes,Slider,79.9,Foul,-
5,36,6,Ben Cutting,Ripken Reyes,Cutter,83.7,Foul,-
5,36,7,Ben Cutting,Ripken Reyes,Slider,78.5,Ball,-
5,37,1,Ben Cutting,Cameron Eden,Cutter,82.3,Foul,-
5,37,2,Ben Cutting,Cameron Eden,Slider,72.2,Hit Into Play - Out,88.1
5,38,1,Ben Cutting,Tyrus Greene,Cutter,80.9,Foul,-
5,38,2,Ben Cutting,Tyrus Greene,Slider,71.8,Called Strike,-
5,38,3,Ben Cutting,Tyrus Greene,Cutter,83.7,Ball,-
5,38,4,Ben Cutting,Tyrus Greene,Slider,78.7,Hit Into Play - Out,86
