Inn,AB,Pitch,Pitcher,Batter,Type,Pitch Spd,Result,Hit Spd
1,1,1,Aaron Shortridge,Ryan Altenberger,4 Seam,90.1,Ball,-
1,1,2,Aaron Shortridge,Ryan Altenberger,4 Seam,90.8,Foul,-
1,1,3,Aaron Shortridge,Ryan Altenberger,Changeup,81.5,Hit Into Play - Out,64.7
1,2,1,Aaron Shortridge,Chris Givin,2 Seam,91.3,Foul,73.7
1,2,2,Aaron Shortridge,Chris Givin,2 Seam,91.2,Called Strike,-
1,2,3,Aaron Shortridge,Chris Givin,Curve,79.3,Ball,-
1,2,4,Aaron Shortridge,Chris Givin,Curve,79.8,Ball,-
1,2,5,Aaron Shortridge,Chris Givin,4 Seam,91.2,Hit Into Play - Out,71.8
1,3,1,Aaron Shortridge,Conor Grammes,Slider,78,Hit Into Play - Out,54.1
1,4,1,Nick Zwack,Tyrus Greene,4 Seam,85.7,Ball,-
1,4,2,Nick Zwack,Tyrus Greene,Cutter,84.8,Called Strike,-
1,4,3,Nick Zwack,Tyrus Greene,4 Seam,87.2,Ball,-
1,4,4,Nick Zwack,Tyrus Greene,Cutter,85.6,Called Strike,-
1,4,5,Nick Zwack,Tyrus Greene,Cutter,88.6,Foul,-
1,4,6,Nick Zwack,Tyrus Greene,Cutter,86.9,Foul,-
1,4,7,Nick Zwack,Tyrus Greene,Curve,71.5,Hit Into Play,76.9
1,5,1,Nick Zwack,Darren Baker,4 Seam,84.1,Foul,-
1,5,2,Nick Zwack,Darren Baker,Cutter,86.7,Foul,48.9
1,5,3,Nick Zwack,Darren Baker,Cutter,87.7,Ball,-
1,5,4,Nick Zwack,Darren Baker,4 Seam,86.7,Hit Into Play - Out,69.2
1,6,1,Nick Zwack,Andrew Vaughn,4 Seam,85.5,Hit Into Play - Run Scored,102.6
1,7,1,Nick Zwack,Tanner Dodson,4 Seam,87.6,Ball,-
1,7,2,Nick Zwack,Tanner Dodson,4 Seam,85.6,Ball,-
1,7,3,Nick Zwack,Tanner Dodson,Cutter,86.6,Hit Into Play - Out,97
1,8,1,Nick Zwack,Jonah Davis,Cutter,86.8,Swinging Strike,-
1,8,2,Nick Zwack,Jonah Davis,Curve,68.8,Called Strike,-
1,8,3,Nick Zwack,Jonah Davis,Cutter,88.2,Swinging Strike,-
2,9,1,Aaron Shortridge,Joe Gellenbeck,2 Seam,89.6,Ball,-
2,9,2,Aaron Shortridge,Joe Gellenbeck,2 Seam,88.6,Ball,-
2,9,3,Aaron Shortridge,Joe Gellenbeck,4 Seam,90,Foul,-
2,9,4,Aaron Shortridge,Joe Gellenbeck,2 Seam,90.4,Ball,-
2,9,5,Aaron Shortridge,Joe Gellenbeck,2 Seam,89.7,Swinging Strike,-
2,9,6,Aaron Shortridge,Joe Gellenbeck,2 Seam,90,Foul,-
2,9,7,Aaron Shortridge,Joe Gellenbeck,Changeup,81.2,Hit Into Play,86.3
2,10,1,Aaron Shortridge,Allbry Major,2 Seam,88.7,Called Strike,-
2,10,2,Aaron Shortridge,Allbry Major,2 Seam,89.7,Ball,-
2,10,3,Aaron Shortridge,Allbry Major,Changeup,80.5,Ball,-
2,10,4,Aaron Shortridge,Allbry Major,2 Seam,89.1,Ball,-
2,10,5,Aaron Shortridge,Allbry Major,2 Seam,88.9,Hit Into Play - Out,83.2
2,11,1,Aaron Shortridge,Natale Monastra,Curve,76.8,Called Strike,-
2,11,2,Aaron Shortridge,Natale Monastra,4 Seam,89.1,Called Strike,-
2,11,3,Aaron Shortridge,Natale Monastra,Slider,77.1,Foul,-
2,11,4,Aaron Shortridge,Natale Monastra,2 Seam,90.9,Foul,-
