Inn,AB,Pitch,Pitcher,Batter,Type,Pitch Spd,Result,Hit Spd
1,1,1,Jared Horn,Sam Grigo,2 Seam,90.6,Ball,-
1,1,2,Jared Horn,Sam Grigo,2 Seam,90.3,Ball,-
1,1,3,Jared Horn,Sam Grigo,2 Seam,90,Hit Into Play - Out,84.4
1,2,1,Jared Horn,Louis Gaitley,2 Seam,91.3,Called Strike,-
1,2,2,Jared Horn,Louis Gaitley,2 Seam,91.2,Hit Into Play,98.5
1,3,1,Jared Horn,Cameron Deere,Curve,76.5,Called Strike,-
1,3,2,Jared Horn,Cameron Deere,2 Seam,90.2,Ball,-
1,3,3,Jared Horn,Cameron Deere,2 Seam,89.4,Ball,-
1,3,4,Jared Horn,Cameron Deere,2 Seam,89.7,Foul,-
1,3,5,Jared Horn,Cameron Deere,Curve,75.4,Foul,38.1
1,3,6,Jared Horn,Cameron Deere,Curve,76,Ball,-
1,3,7,Jared Horn,Cameron Deere,2 Seam,89.5,Ball,-
1,4,1,Jared Horn,Mark Sluys,2 Seam,91.1,Ball,-
1,4,2,Jared Horn,Mark Sluys,2 Seam,90.4,Ball,-
1,4,3,Jared Horn,Mark Sluys,2 Seam,89.7,Hit Into Play - Run Scored,99.8
1,5,1,Jared Horn,Willy Homza,Curve,75.4,Ball,-
1,5,2,Jared Horn,Willy Homza,4 Seam,83.7,Ball,-
1,5,3,Jared Horn,Willy Homza,2 Seam,84.4,Foul,-
1,5,4,Jared Horn,Willy Homza,2 Seam,91.3,Foul,-
1,5,5,Jared Horn,Willy Homza,2 Seam,84.4,Ball,-
1,5,6,Jared Horn,Willy Homza,2 Seam,90.2,Ball,-
1,6,1,Jared Horn,Garett Delano,2 Seam,90.2,Foul,-
1,6,2,Jared Horn,Garett Delano,Curve,75.9,Ball,-
1,6,3,Jared Horn,Garett Delano,2 Seam,90,Called Strike,-
1,6,4,Jared Horn,Garett Delano,Curve,75.1,Ball,-
1,6,5,Jared Horn,Garett Delano,2 Seam,89.9,Swinging Strike,-
1,7,1,Jared Horn,Brennan Vasquez,2 Seam,92,Foul,67.6
1,7,2,Jared Horn,Brennan Vasquez,2 Seam,91.5,Foul,-
1,7,3,Jared Horn,Brennan Vasquez,Curve,76.1,Called Strike,-
1,8,1,Reid Anderson,Tyrus Greene,2 Seam,91.7,Hit Into Play,93.1
1,9,1,Reid Anderson,Darren Baker,2 Seam,90.5,Ball,-
1,9,2,Reid Anderson,Darren Baker,2 Seam,91.1,Swinging Strike,-
1,9,3,Reid Anderson,Darren Baker,2 Seam,91.8,Foul,-
1,9,4,Reid Anderson,Darren Baker,2 Seam,92.4,Foul,78
1,9,5,Reid Anderson,Darren Baker,Changeup,83.1,Ball,-
1,9,6,Reid Anderson,Darren Baker,Changeup,84.5,Swinging Strike,-
1,10,1,Reid Anderson,Andrew Vaughn,2 Seam,92.2,Ball,-
1,10,2,Reid Anderson,Andrew Vaughn,2 Seam,92.1,Hit Into Play - Run Scored,80.6
1,11,1,Reid Anderson,Tanner Dodson,Changeup,77.2,Ball,-
1,11,2,Reid Anderson,Tanner Dodson,2 Seam,91.1,Foul,-
1,11,3,Reid Anderson,Tanner Dodson,Changeup,84.3,Swinging Strike,-
1,11,4,Reid Anderson,Tanner Dodson,Changeup,85.6,Ball,-
1,11,5,Reid Anderson,Tanner Dodson,2 Seam,92.1,Swinging Strike,-
1,12,1,Reid Anderson,Jonah Davis,Changeup,83.6,Swinging Strike,-
1,12,2,Reid Anderson,Jonah Davis,Changeup,84.6,Ball,-
1,12,3,Reid Anderson,Jonah Davis,Curve,78,Ball,-
1,12,4,Reid Anderson,Jonah Davis,2 Seam,92.3,Called Strike,-
1,12,5,Reid Anderson,Jonah Davis,Changeup,84.7,Swinging Strike,-
2,13,1,Jared Horn,Richard Ciufo,4 Seam,89.3,Hit Into Play,92.5
2,14,1,Jared Horn,Joe Lomuscio,2 Seam,87.8,Called Strike,-
2,14,2,Jared Horn,Joe Lomuscio,4 Seam,86.7,Foul,-
2,14,3,Jared Horn,Joe Lomuscio,Curve,74.5,Swinging Strike,-
2,15,1,Jared Horn,Sam Grigo,Curve,75.1,Ball,-
2,15,2,Jared Horn,Sam Grigo,4 Seam,83.7,Swinging Strike,-
2,15,3,Jared Horn,Sam Grigo,2 Seam,91.4,Foul,73.3
2,15,4,Jared Horn,Sam Grigo,Changeup,85.4,Ball,-
2,15,5,Jared Horn,Sam Grigo,2 Seam,88.2,Ball,-
2,15,6,Jared Horn,Sam Grigo,2 Seam,90.4,Foul,-
2,15,7,Jared Horn,Sam Grigo,Changeup,83.3,Swinging Strike,-
2,16,1,Reid Anderson,Korey Lee,4 Seam,91.5,Hit Into Play - Out,-
2,17,1,Reid Anderson,Sam Wezniak,2 Seam,91.1,Ball,-
2,17,2,Reid Anderson,Sam Wezniak,2 Seam,90.5,Ball,-
2,17,3,Reid Anderson,Sam Wezniak,2 Seam,90.6,Foul,-
2,17,4,Reid Anderson,Sam Wezniak,Changeup,76,Hit By Pitch,-
2,18,1,Reid Anderson,Max Flower,2 Seam,90.4,Called Strike,-
2,18,2,Reid Anderson,Max Flower,Curve,76,Ball,-
2,18,3,Reid Anderson,Max Flower,2 Seam,89.6,Hit Into Play - Out,45.3
2,19,1,Reid Anderson,Cameron Eden,Changeup,81.2,Called Strike,-
2,19,2,Reid Anderson,Cameron Eden,Changeup,81.8,Ball,-
2,19,3,Reid Anderson,Cameron Eden,2 Seam,91,Foul,94.2
2,19,4,Reid Anderson,Cameron Eden,Changeup,83,Foul,-
2,19,5,Reid Anderson,Cameron Eden,Changeup,83.7,Ball,-
2,19,6,Reid Anderson,Cameron Eden,Changeup,83.8,Swinging Strike,-
3,20,1,Jared Horn,Louis Gaitley,4 Seam,88.1,Ball,-
3,20,2,Jared Horn,Louis Gaitley,2 Seam,87.4,Hit Into Play,103.2
3,21,1,Jared Horn,Cameron Deere,2 Seam,89.8,Ball,-
3,21,2,Jared Horn,Cameron Deere,Changeup,81.9,Swinging Strike,-
3,21,3,Jared Horn,Cameron Deere,2 Seam,82.2,Swinging Strike,-
3,21,4,Jared Horn,Cameron Deere,2 Seam,90.2,Ball,-
3,21,5,Jared Horn,Cameron Deere,Changeup,82.5,Ball,-
3,21,6,Jared Horn,Cameron Deere,2 Seam,89.1,Hit Into Play - Out,83.9
3,22,1,Jared Horn,Mark Sluys,Changeup,83.4,Ball,-
3,22,3,Jared Horn,Mark Sluys,Curve,75.4,Called Strike,-
3,22,4,Jared Horn,Mark Sluys,Curve,75.5,Swinging Strike,-
3,22,2,Jared Horn,Mark Sluys,2 Seam,88.6,Called Strike,-
3,23,1,Jared Horn,Willy Homza,Changeup,83.9,Ball,-
3,23,2,Jared Horn,Willy Homza,Changeup,82.1,Hit Into Play - Out,-
3,24,1,Reid Anderson,Tyrus Greene,Changeup,81,Ball,-
