Inn,AB,Pitch,Pitcher,Batter,Type,Pitch Spd,Result,Hit Spd
1,1,1,Matt Ladrech,Sam Grigo,2 Seam,80,Hit Into Play,-
1,2,1,Matt Ladrech,Louis Gaitley,2 Seam,79.8,Hit Into Play - Out,-
1,3,1,Matt Ladrech,Cameron Deere,4 Seam,81.7,Called Strike,-
1,3,2,Matt Ladrech,Cameron Deere,Changeup,71.6,Foul,87.4
1,3,3,Matt Ladrech,Cameron Deere,4 Seam,82.4,Ball,-
1,3,4,Matt Ladrech,Cameron Deere,Cutter,82,Foul,-
1,3,5,Matt Ladrech,Cameron Deere,4 Seam,82.5,Ball,-
1,3,6,Matt Ladrech,Cameron Deere,Curve,69.2,Hit Into Play - Out,84.9
1,4,1,Will Tomlinson,Tyrus Greene,4 Seam,88.9,Called Strike,-
1,4,2,Will Tomlinson,Tyrus Greene,2 Seam,89.9,Hit Into Play - Out,-
1,5,1,Will Tomlinson,Sam Wezniak,2 Seam,90,Ball,-
1,5,2,Will Tomlinson,Sam Wezniak,2 Seam,88.4,Swinging Strike,-
1,5,3,Will Tomlinson,Sam Wezniak,Curve,71.8,Ball,-
1,5,4,Will Tomlinson,Sam Wezniak,2 Seam,89.1,Swinging Strike,-
1,5,5,Will Tomlinson,Sam Wezniak,2 Seam,91.1,Ball,-
1,5,6,Will Tomlinson,Sam Wezniak,2 Seam,89.9,Hit Into Play,-
1,6,1,Will Tomlinson,Andrew Vaughn,2 Seam,90.4,Hit Into Play - Out,-
1,7,1,Will Tomlinson,Tanner Dodson,2 Seam,89.5,Ball,-
1,7,2,Will Tomlinson,Tanner Dodson,2 Seam,89,Hit Into Play - Out,-
2,8,1,Matt Ladrech,Willy Homza,Cutter,70.2,Ball,-
2,8,2,Matt Ladrech,Willy Homza,4 Seam,80.4,Hit Into Play,97.3
2,9,1,Matt Ladrech,Garett Delano,2 Seam,80.6,Swinging Strike,-
2,9,2,Matt Ladrech,Garett Delano,Cutter,70.5,Swinging Strike,-
2,9,3,Matt Ladrech,Garett Delano,4 Seam,81.1,Called Strike,-
2,10,1,Matt Ladrech,Richard Ciufo,Cutter,69.6,Called Strike,-
2,10,2,Matt Ladrech,Richard Ciufo,4 Seam,81.4,Ball,-
2,10,3,Matt Ladrech,Richard Ciufo,Changeup,79.8,Hit Into Play,-
2,11,1,Matt Ladrech,Parke Phillips,4 Seam,80.8,Hit Into Play - Out,-
2,12,1,Matt Ladrech,Jake Rosander,Cutter,68.9,Called Strike,-
2,12,2,Matt Ladrech,Jake Rosander,Slider,70.6,Ball,-
2,12,3,Matt Ladrech,Jake Rosander,2 Seam,80.5,Called Strike,-
