Inn,AB,Pitch,Pitcher,Batter,Type,Pitch Spd,Result,Hit Spd
1,1,1,Rogelio Reyes,Tanner Murray,2 Seam,88.1,Hit Into Play,-
1,2,1,Rogelio Reyes,Brad Pluschkell,2 Seam,88.6,Hit Into Play - Out,-
1,3,1,Rogelio Reyes,Ryan Anderson,2 Seam,89.5,Foul,-
1,3,2,Rogelio Reyes,Ryan Anderson,Changeup,81.9,Hit Into Play - Out,-
1,4,1,Rogelio Reyes,Logan Denholm,Changeup,80.2,Swinging Strike,-
1,4,2,Rogelio Reyes,Logan Denholm,Changeup,81.5,Ball,-
1,4,3,Rogelio Reyes,Logan Denholm,2 Seam,90,Foul,-
1,4,5,Rogelio Reyes,Logan Denholm,Changeup,82.5,Swinging Strike,-
1,5,1,Blake Hannah,Tyrus Greene,2 Seam,85.3,Called Strike,-
1,5,2,Blake Hannah,Tyrus Greene,Changeup,76.6,Hit Into Play,85
1,6,1,Blake Hannah,Jeffery Mitchell Jr.,Changeup,75.9,Called Strike,-
1,6,2,Blake Hannah,Jeffery Mitchell Jr.,2 Seam,85.1,Called Strike,-
1,6,3,Blake Hannah,Jeffery Mitchell Jr.,2 Seam,84.6,Ball,-
1,6,4,Blake Hannah,Jeffery Mitchell Jr.,Slider,72.5,Ball,-
1,6,5,Blake Hannah,Jeffery Mitchell Jr.,Curve,71.8,Ball,-
1,6,6,Blake Hannah,Jeffery Mitchell Jr.,2 Seam,83.1,Ball,-
1,7,1,Blake Hannah,Andrew Vaughn,Changeup,76.1,Ball,-
1,7,2,Blake Hannah,Andrew Vaughn,2 Seam,83.9,Called Strike,-
1,7,3,Blake Hannah,Andrew Vaughn,2 Seam,83.6,Ball,-
1,7,4,Blake Hannah,Andrew Vaughn,2 Seam,84.8,Ball,-
1,7,5,Blake Hannah,Andrew Vaughn,2 Seam,82.8,Called Strike,-
1,7,6,Blake Hannah,Andrew Vaughn,4 Seam,83.5,Foul,-
1,7,7,Blake Hannah,Andrew Vaughn,2 Seam,83.2,Hit Into Play - Out,83.3
1,8,1,Blake Hannah,Tanner Dodson,2 Seam,83.9,Hit Into Play - Out,58.4
1,9,1,Blake Hannah,Jonah Davis,2 Seam,84.5,Hit Into Play - Out,94.6
