Inn,AB,Pitch,Pitcher,Batter,Type,Pitch Spd,Result,Hit Spd
1,1,1,Aaron Shortridge,Daniel Amaral,-,89.6,Called Strike,-
1,1,2,Aaron Shortridge,Daniel Amaral,-,90.9,Ball,-
1,1,3,Aaron Shortridge,Daniel Amaral,-,80.5,Ball,-
1,1,4,Aaron Shortridge,Daniel Amaral,-,89.9,Called Strike,-
1,1,5,Aaron Shortridge,Daniel Amaral,-,89.9,Foul,-
1,1,6,Aaron Shortridge,Daniel Amaral,-,91.1,Ball,-
1,1,7,Aaron Shortridge,Daniel Amaral,-,91.2,Hit Into Play - Out,96.8
1,2,1,Aaron Shortridge,Kevin Kendall,-,91.7,Called Strike,-
1,2,2,Aaron Shortridge,Kevin Kendall,-,81.8,Ball,-
1,2,3,Aaron Shortridge,Kevin Kendall,-,90.9,Called Strike,-
1,2,4,Aaron Shortridge,Kevin Kendall,-,91.8,Hit Into Play - Out,-
1,3,1,Aaron Shortridge,Jack Stronach,-,91.8,Called Strike,-
1,3,2,Aaron Shortridge,Jack Stronach,-,90.5,Foul,-
1,3,3,Aaron Shortridge,Jack Stronach,-,90.8,Foul,-
1,3,4,Aaron Shortridge,Jack Stronach,-,90.8,Foul,-
1,3,5,Aaron Shortridge,Jack Stronach,-,82.5,Hit Into Play - Out,-
1,4,1,Jack Ralston,Tyrus Greene,-,89,Called Strike,-
1,4,2,Jack Ralston,Tyrus Greene,-,89.3,Swinging Strike,-
1,4,3,Jack Ralston,Tyrus Greene,-,89,Ball,-
1,4,4,Jack Ralston,Tyrus Greene,-,89.1,Ball,-
1,4,5,Jack Ralston,Tyrus Greene,-,88.1,Foul,-
1,4,6,Jack Ralston,Tyrus Greene,-,88.3,Ball,-
1,4,7,Jack Ralston,Tyrus Greene,-,90.2,Foul,-
1,4,8,Jack Ralston,Tyrus Greene,-,88.6,Hit Into Play - Out,-
1,5,1,Jack Ralston,Tanner Dodson,-,72.4,Ball,-
