Inn,AB,Pitch,Pitcher,Batter,Type,Pitch Spd,Result,Hit Spd
1,1,1,Jared Horn,DaShawn Keirsey Jr.,2 Seam,93.5,Ball,-
1,1,2,Jared Horn,DaShawn Keirsey Jr.,2 Seam,93.2,Ball,-
1,1,3,Jared Horn,DaShawn Keirsey Jr.,4 Seam,92.5,Ball,-
1,1,4,Jared Horn,DaShawn Keirsey Jr.,2 Seam,91.2,Ball,-
1,2,1,Jared Horn,Oliver Dunn,4 Seam,92.9,Ball,-
1,2,2,Jared Horn,Oliver Dunn,2 Seam,91.1,Foul,-
1,2,3,Jared Horn,Oliver Dunn,2 Seam,90.9,Called Strike,-
1,2,4,Jared Horn,Oliver Dunn,Curve,76.3,Ball,-
1,2,5,Jared Horn,Oliver Dunn,2 Seam,92.2,Ball,-
1,2,6,Jared Horn,Oliver Dunn,2 Seam,91.4,Ball,-
1,3,1,Jared Horn,Rykker Tom,4 Seam,92.4,Ball,-
1,3,2,Jared Horn,Rykker Tom,4 Seam,90.5,Ball,-
1,3,3,Jared Horn,Rykker Tom,2 Seam,89.5,Ball,-
1,3,4,Jared Horn,Rykker Tom,2 Seam,88.7,Ball,-
1,4,1,Jared Horn,Erick Migueles,2 Seam,92.1,Swinging Strike,-
1,4,2,Jared Horn,Erick Migueles,2 Seam,92.2,Hit Into Play - Run Scored,-
1,5,1,Jared Horn,Davis Delorefice,2 Seam,90.8,Ball,-
1,5,2,Jared Horn,Davis Delorefice,2 Seam,90.9,Ball,-
1,5,3,Jared Horn,Davis Delorefice,2 Seam,91.1,Foul,-
1,5,4,Jared Horn,Davis Delorefice,2 Seam,90.4,Ball,-
1,5,5,Jared Horn,Davis Delorefice,2 Seam,90.1,Ball,-
1,6,1,Jared Horn,Braden DeBenedictis,4 Seam,92.7,Called Strike,-
1,6,2,Jared Horn,Braden DeBenedictis,Curve,75.5,Swinging Strike,-
1,6,3,Jared Horn,Braden DeBenedictis,Curve,75.4,Called Strike,-
1,7,1,Jared Horn,Wade Gulden,2 Seam,92.5,Ball,-
1,7,2,Jared Horn,Wade Gulden,2 Seam,91.4,Ball,-
1,7,3,Jared Horn,Wade Gulden,Changeup,83,Ball,-
1,7,4,Jared Horn,Wade Gulden,2 Seam,90.8,Hit By Pitch,-
1,8,1,Jared Horn,Matt Richardson,2 Seam,90,Called Strike,-
1,8,2,Jared Horn,Matt Richardson,2 Seam,91,Called Strike,-
1,8,3,Jared Horn,Matt Richardson,Curve,75.3,Ball,-
1,8,4,Jared Horn,Matt Richardson,Curve,75.3,Ball,-
1,8,5,Jared Horn,Matt Richardson,2 Seam,91.2,Ball,-
1,8,6,Jared Horn,Matt Richardson,4 Seam,90.2,Foul,73.1
1,8,7,Jared Horn,Matt Richardson,2 Seam,89.5,Ball,-
1,9,1,Jared Horn,"Christopher Rowan, Jr.",2 Seam,91.3,Foul,79
