Inn,AB,Pitch,Pitcher,Batter,Type,Pitch Spd,Result,Hit Spd
1,1,1,Rogelio Reyes,John Cresto,2 Seam,89.8,Hit Into Play - Run Scored,97.1
1,2,1,Rogelio Reyes,Joe Becht,2 Seam,88.9,Ball,-
1,2,2,Rogelio Reyes,Joe Becht,2 Seam,89.1,Ball,-
1,2,3,Rogelio Reyes,Joe Becht,2 Seam,89.9,Hit Into Play - Out,86
1,3,1,Rogelio Reyes,Jake Brodt,Changeup,81.3,Foul,-
1,3,2,Rogelio Reyes,Jake Brodt,Changeup,81.8,Hit Into Play,79.6
1,4,1,Rogelio Reyes,Evan Haberle,Changeup,81.8,Swinging Strike,-
1,4,2,Rogelio Reyes,Evan Haberle,2 Seam,89.3,Ball,-
1,4,3,Rogelio Reyes,Evan Haberle,Curve,72.6,Called Strike,-
1,4,4,Rogelio Reyes,Evan Haberle,Changeup,81,Ball,-
1,4,5,Rogelio Reyes,Evan Haberle,Changeup,81.3,Hit Into Play - Out,83.2
1,5,1,Rogelio Reyes,Jason Dicochea,Curve,73,Ball,-
1,6,1,Cade Negley,Tyrus Greene,Changeup,79.2,Foul,-
1,6,2,Cade Negley,Tyrus Greene,2 Seam,82.5,Foul,-
1,6,3,Cade Negley,Tyrus Greene,Curve,70.9,Ball,-
1,6,4,Cade Negley,Tyrus Greene,2 Seam,83.3,Hit Into Play - Out,-
1,7,1,Cade Negley,Tanner Dodson,2 Seam,82.3,L,-
1,7,2,Cade Negley,Tanner Dodson,2 Seam,83.6,Hit Into Play - Out,-
1,8,1,Cade Negley,Andrew Vaughn,2 Seam,82.2,Ball,-
1,8,2,Cade Negley,Andrew Vaughn,Curve,69.6,Called Strike,-
1,8,3,Cade Negley,Andrew Vaughn,2 Seam,81.4,Foul,-
1,8,4,Cade Negley,Andrew Vaughn,2 Seam,84,Ball,-
1,8,5,Cade Negley,Andrew Vaughn,2 Seam,82.2,Foul,47.8
1,8,6,Cade Negley,Andrew Vaughn,Curve,70.3,Foul,57.8
1,8,7,Cade Negley,Andrew Vaughn,2 Seam,82.2,Foul,-
1,8,8,Cade Negley,Andrew Vaughn,2 Seam,82.8,Hit Into Play,106.6
1,9,1,Cade Negley,Jonah Davis,2 Seam,82.5,Ball,-
1,9,2,Cade Negley,Jonah Davis,2 Seam,82,Foul,33.5
1,9,3,Cade Negley,Jonah Davis,2 Seam,83.1,Foul,-
1,9,4,Cade Negley,Jonah Davis,Curve,72,Ball,-
1,9,5,Cade Negley,Jonah Davis,2 Seam,82.3,Ball,-
1,9,6,Cade Negley,Jonah Davis,2 Seam,82.1,Foul,85.1
1,9,7,Cade Negley,Jonah Davis,2 Seam,81.6,Foul,-
1,9,8,Cade Negley,Jonah Davis,2 Seam,82.5,Hit Into Play,71.2
1,10,1,Cade Negley,Jeff Mitchell Jr,2 Seam,82.6,Swinging Strike,-
1,10,2,Cade Negley,Jeff Mitchell Jr,2 Seam,83.3,Ball,-
1,10,3,Cade Negley,Jeff Mitchell Jr,2 Seam,82.4,Ball,-
1,10,4,Cade Negley,Jeff Mitchell Jr,Changeup,81.2,Ball,-
1,10,5,Cade Negley,Jeff Mitchell Jr,2 Seam,80.7,Swinging Strike,-
1,10,6,Cade Negley,Jeff Mitchell Jr,Changeup,79.3,Called Strike,-
2,11,1,Rogelio Reyes,Jason Dicochea,Changeup,81.1,Foul,-
2,11,2,Rogelio Reyes,Jason Dicochea,2 Seam,89.7,Ball,-
2,11,3,Rogelio Reyes,Jason Dicochea,Curve,73.4,Ball,-
2,11,4,Rogelio Reyes,Jason Dicochea,Changeup,79.1,Ball,-
2,11,5,Rogelio Reyes,Jason Dicochea,2 Seam,88.3,Ball,-
2,12,1,Rogelio Reyes,Matt Smithwick,2 Seam,89,Hit Into Play,31.3
2,13,1,Rogelio Reyes,Jake MacNichols,2 Seam,88.6,Ball,-
2,13,2,Rogelio Reyes,Jake MacNichols,2 Seam,88,Ball,-
2,13,3,Rogelio Reyes,Jake MacNichols,Changeup,81.8,Ball,-
2,13,4,Rogelio Reyes,Jake MacNichols,2 Seam,87.8,Hit Into Play - Run Scored,97.7
2,14,1,Arman Sabouri,Cory Moore,4 Seam,86.1,Ball,-
2,14,2,Arman Sabouri,Cory Moore,Curve,74.8,Ball,-
2,14,3,Arman Sabouri,Cory Moore,4 Seam,85.3,Called Strike,-
2,14,4,Arman Sabouri,Cory Moore,4 Seam,84.9,Hit Into Play - Out,49.9
2,15,1,Arman Sabouri,Niko Holm,4 Seam,86.2,Ball,-
2,15,2,Arman Sabouri,Niko Holm,4 Seam,86.6,Ball,-
2,15,3,Arman Sabouri,Niko Holm,4 Seam,85.7,Called Strike,-
2,15,4,Arman Sabouri,Niko Holm,4 Seam,86.3,Ball,-
2,15,5,Arman Sabouri,Niko Holm,4 Seam,85,Called Strike,-
2,15,6,Arman Sabouri,Niko Holm,4 Seam,86.7,Foul,-
2,15,7,Arman Sabouri,Niko Holm,4 Seam,88.9,Ball,-
2,16,1,Arman Sabouri,John Cresto,Slider,77.8,Ball,-
2,16,2,Arman Sabouri,John Cresto,4 Seam,86.8,Swinging Strike,-
2,16,3,Arman Sabouri,John Cresto,Slider,77,Foul,-
