Inn,AB,Pitch,Pitcher,Batter,Type,Pitch Spd,Result,Hit Spd
1,1,1,Matt Ladrech,Mason Cerillo,2 Seam,81.5,Ball,-
1,1,2,Matt Ladrech,Mason Cerillo,Cutter,80.3,Called Strike,-
1,1,3,Matt Ladrech,Mason Cerillo,Cutter,74.7,Swinging Strike,-
1,1,4,Matt Ladrech,Mason Cerillo,Curve,67.2,Hit Into Play - Out,-
1,2,1,Matt Ladrech,Levi Jordan,4 Seam,80.8,Hit Into Play,-
1,3,1,Matt Ladrech,Nick Kahle,Changeup,73.8,Hit Into Play - Out,-
1,4,1,Lucas Knowles,Tyrus Greene,4 Seam,85.1,Hit Into Play - Run Scored,-
1,5,1,Lucas Knowles,Tanner Dodson,4 Seam,86.4,Hit Into Play,-
1,6,1,Lucas Knowles,Andrew Vaughn,Curve,71,Called Strike,-
1,6,2,Lucas Knowles,Andrew Vaughn,Curve,71.4,Ball,-
1,6,3,Lucas Knowles,Andrew Vaughn,Curve,70.4,Ball,-
1,6,4,Lucas Knowles,Andrew Vaughn,Cutter,78.9,Ball,-
1,6,5,Lucas Knowles,Andrew Vaughn,Curve,70.7,Ball,-
1,7,1,Lucas Knowles,Jonah Davis,Cutter,77.4,Ball,-
1,7,2,Lucas Knowles,Jonah Davis,Changeup,76.6,Ball,-
1,7,3,Lucas Knowles,Jonah Davis,4 Seam,84.5,Foul,-
1,7,4,Lucas Knowles,Jonah Davis,Changeup,77.7,Foul,-
1,7,5,Lucas Knowles,Jonah Davis,4 Seam,85,Hit By Pitch,-
1,8,1,Lucas Knowles,Jeff Mitchell Jr,Changeup,77.8,Ball,-
1,8,2,Lucas Knowles,Jeff Mitchell Jr,4 Seam,83.8,Foul,-
1,8,3,Lucas Knowles,Jeff Mitchell Jr,Changeup,78.1,Called Strike,-
1,8,4,Lucas Knowles,Jeff Mitchell Jr,Changeup,77.8,Ball,-
1,8,5,Lucas Knowles,Jeff Mitchell Jr,Cutter,78.1,Foul,-
1,8,6,Lucas Knowles,Jeff Mitchell Jr,4 Seam,85.3,Called Strike,-
1,9,1,Lucas Knowles,Max Flower,Slider,76.6,Hit Into Play - Run Scored,-
1,10,1,Lucas Knowles,Darren Baker,4 Seam,84.2,Called Strike,-
1,10,2,Lucas Knowles,Darren Baker,2 Seam,84.7,Ball,-
1,10,3,Lucas Knowles,Darren Baker,4 Seam,85.1,Ball,-
1,10,4,Lucas Knowles,Darren Baker,4 Seam,83.8,Hit Into Play - Run Scored,95
1,11,1,Lucas Knowles,Sam Wezniak,Changeup,76.8,Swinging Strike,-
1,11,2,Lucas Knowles,Sam Wezniak,Changeup,76.5,Swinging Strike,-
1,11,3,Lucas Knowles,Sam Wezniak,Changeup,74.1,Ball,-
1,11,4,Lucas Knowles,Sam Wezniak,4 Seam,86.6,Foul,-
1,11,5,Lucas Knowles,Sam Wezniak,Changeup,75,Ball,-
1,11,6,Lucas Knowles,Sam Wezniak,Changeup,77.2,Hit Into Play - Out,-
2,12,1,Matt Ladrech,Willie MacIver,Changeup,73.8,Ball,-
2,12,2,Matt Ladrech,Willie MacIver,2 Seam,80.5,Called Strike,-
2,12,3,Matt Ladrech,Willie MacIver,2 Seam,80.3,Ball,-
2,12,4,Matt Ladrech,Willie MacIver,Cutter,71.3,Called Strike,-
2,12,5,Matt Ladrech,Willie MacIver,Cutter,72,Swinging Strike,-
2,13,1,Matt Ladrech,Joe Wainhouse,4 Seam,80.5,Hit Into Play - Out,-
2,14,1,Matt Ladrech,AJ Graffanino,4 Seam,80.8,Called Strike,-
2,14,2,Matt Ladrech,AJ Graffanino,Curve,65.7,Hit Into Play,69
2,15,1,Matt Ladrech,Jonathan Schiffer,Cutter,80.8,Ball,-
2,15,2,Matt Ladrech,Jonathan Schiffer,Changeup,79.2,Ball,-
2,15,3,Matt Ladrech,Jonathan Schiffer,Cutter,77.8,Foul,47.1
2,16,1,Lucas Knowles,Cameron Eden,Changeup,77,Called Strike,-
2,16,2,Lucas Knowles,Cameron Eden,Slider,73.6,Ball,-
2,16,3,Lucas Knowles,Cameron Eden,4 Seam,77.7,Ball,-
2,16,4,Lucas Knowles,Cameron Eden,4 Seam,83.5,Ball,-
2,16,5,Lucas Knowles,Cameron Eden,4 Seam,83.6,Hit Into Play - Out,87.3
2,17,1,Lucas Knowles,Tyrus Greene,Slider,78.6,Called Strike,-
2,17,2,Lucas Knowles,Tyrus Greene,Slider,76.1,Ball,-
2,17,3,Lucas Knowles,Tyrus Greene,Cutter,78.4,Called Strike,-
2,17,4,Lucas Knowles,Tyrus Greene,4 Seam,86.5,Hit Into Play - Out,52
2,18,1,Lucas Knowles,Tanner Dodson,4 Seam,86.8,Called Strike,-
2,18,2,Lucas Knowles,Tanner Dodson,Changeup,77.4,Ball,-
2,18,3,Lucas Knowles,Tanner Dodson,Changeup,78.1,Swinging Strike,-
2,18,4,Lucas Knowles,Tanner Dodson,Changeup,77.5,Foul,-
2,18,5,Lucas Knowles,Tanner Dodson,4 Seam,87,Hit Into Play - Out,100.3
3,19,1,Matt Ladrech,Christian Jones,Changeup,79.7,Hit Into Play - Out,98.2
3,20,1,Matt Ladrech,Braiden Ward,4 Seam,79,Called Strike,-
3,20,2,Matt Ladrech,Braiden Ward,Curve,66.5,Hit Into Play - Out,55.8
3,21,1,Matt Ladrech,Mason Cerillo,Cutter,79.3,Called Strike,-
3,21,2,Matt Ladrech,Mason Cerillo,Cutter,73.6,Foul,-
3,21,3,Matt Ladrech,Mason Cerillo,Curve,68.8,Ball,-
3,21,4,Matt Ladrech,Mason Cerillo,Slider,73.4,Foul,-
3,21,5,Matt Ladrech,Mason Cerillo,4 Seam,80.9,Foul,-
3,21,6,Matt Ladrech,Mason Cerillo,4 Seam,79.7,Hit Into Play,74.4
3,22,1,Matt Ladrech,Levi Jordan,Changeup,71.6,Called Strike,-
3,22,2,Matt Ladrech,Levi Jordan,Cutter,73.2,Foul,76.9
3,22,3,Matt Ladrech,Levi Jordan,4 Seam,80.9,Foul,91.8
3,22,4,Matt Ladrech,Levi Jordan,4 Seam,81.6,Called Strike,-
3,23,1,Lucas Knowles,Andrew Vaughn,4 Seam,84,Ball,-
3,23,2,Lucas Knowles,Andrew Vaughn,4 Seam,84.3,Ball,-
3,23,3,Lucas Knowles,Andrew Vaughn,Changeup,78.2,Called Strike,-
3,23,4,Lucas Knowles,Andrew Vaughn,Changeup,78.1,Hit Into Play - Out,86.3
3,24,1,Lucas Knowles,Jonah Davis,Slider,79.3,Called Strike,-
3,24,2,Lucas Knowles,Jonah Davis,Slider,78.4,Hit Into Play,71.1
3,25,1,Lucas Knowles,Jeff Mitchell Jr,Changeup,77.2,Hit Into Play,89
3,26,1,Lucas Knowles,Max Flower,4 Seam,84,Ball,-
3,26,2,Lucas Knowles,Max Flower,Slider,78.3,Ball,-
3,26,3,Lucas Knowles,Max Flower,4 Seam,84.3,Foul,79
3,26,4,Lucas Knowles,Max Flower,4 Seam,83.7,Foul,83.2
3,26,5,Lucas Knowles,Max Flower,Slider,78.4,Foul,-
3,26,6,Lucas Knowles,Max Flower,4 Seam,85.6,Foul,-
3,26,7,Lucas Knowles,Max Flower,Cutter,85.1,Foul,-
3,26,8,Lucas Knowles,Max Flower,Cutter,78,Swinging Strike,-
3,27,1,Lucas Knowles,Darren Baker,Cutter,77.3,Ball,-
3,27,2,Lucas Knowles,Darren Baker,Slider,77.6,Called Strike,-
3,27,3,Lucas Knowles,Darren Baker,4 Seam,84.5,Called Strike,-
3,27,4,Lucas Knowles,Darren Baker,4 Seam,85.9,Ball,-
3,27,5,Lucas Knowles,Darren Baker,Cutter,77.4,Called Strike,-
4,28,1,Matt Ladrech,Nick Kahle,Cutter,72.8,Swinging Strike,-
4,28,2,Matt Ladrech,Nick Kahle,Changeup,73.9,Ball,-
4,28,3,Matt Ladrech,Nick Kahle,4 Seam,79.7,Called Strike,-
4,28,4,Matt Ladrech,Nick Kahle,4 Seam,80.3,Hit Into Play,92.7
4,29,1,Matt Ladrech,Willie MacIver,2 Seam,80.6,Ball,-
4,29,2,Matt Ladrech,Willie MacIver,Changeup,74.1,Hit Into Play,82.9
4,30,1,Matt Ladrech,Joe Wainhouse,4 Seam,79.8,Hit Into Play - Run Scored,104.8
4,31,1,Matt Ladrech,AJ Graffanino,Cutter,79.9,Called Strike,-
4,31,2,Matt Ladrech,AJ Graffanino,Slider,71.9,Called Strike,-
4,31,3,Matt Ladrech,AJ Graffanino,4 Seam,81.8,Ball,-
4,31,4,Matt Ladrech,AJ Graffanino,4 Seam,80.8,Ball,-
4,31,5,Matt Ladrech,AJ Graffanino,Slider,70.6,Hit Into Play - Out,71.3
4,32,1,Matt Ladrech,Jonathan Schiffer,Changeup,71.9,Hit Into Play - Run Scored,82.5
4,33,1,Matt Ladrech,Christian Jones,Cutter,80.5,Swinging Strike,-
4,33,2,Matt Ladrech,Christian Jones,Changeup,73.5,Hit Into Play,83.9
4,34,1,Matt Ladrech,Braiden Ward,Cutter,80.2,Ball,-
4,34,2,Matt Ladrech,Braiden Ward,Cutter,79.8,Ball,-
4,34,3,Matt Ladrech,Braiden Ward,Cutter,79.4,Hit Into Play - Run Scored,90.5
4,35,1,Matt Ladrech,Mason Cerillo,Slider,67.4,Called Strike,-
4,35,2,Matt Ladrech,Mason Cerillo,Cutter,71.3,Ball,-
4,35,3,Matt Ladrech,Mason Cerillo,2 Seam,80.7,Called Strike,-
4,35,4,Matt Ladrech,Mason Cerillo,4 Seam,81.8,Ball,-
4,35,5,Matt Ladrech,Mason Cerillo,Curve,67.9,Swinging Strike,-
4,36,1,Lucas Knowles,Sam Wezniak,Changeup,76.2,Ball,-
4,36,2,Lucas Knowles,Sam Wezniak,Changeup,77.2,Called Strike,-
4,36,3,Lucas Knowles,Sam Wezniak,Cutter,75.9,Hit Into Play,96.3
