Inn,AB,Pitch,Pitcher,Batter,Type,Pitch Spd,Result,Hit Spd
1,1,1,Andrew Buckley,Ian Dawkins,2 Seam,85.1,Ball,-
1,1,2,Andrew Buckley,Ian Dawkins,2 Seam,84.3,Called Strike,-
1,1,3,Andrew Buckley,Ian Dawkins,2 Seam,85.1,Foul,-
1,1,4,Andrew Buckley,Ian Dawkins,2 Seam,85.6,Hit Into Play,94.2
1,2,1,Andrew Buckley,Andrew McWilliam,2 Seam,83.6,Swinging Strike,-
1,2,2,Andrew Buckley,Andrew McWilliam,2 Seam,85.3,Hit Into Play - Out,92.6
1,3,1,Andrew Buckley,James Outman,2 Seam,85.3,Ball,-
1,3,2,Andrew Buckley,James Outman,2 Seam,84.9,Foul,-
1,3,3,Andrew Buckley,James Outman,2 Seam,81.3,Swinging Strike,-
1,3,4,Andrew Buckley,James Outman,Changeup,81.5,Ball,-
1,3,5,Andrew Buckley,James Outman,2 Seam,81.8,Ball,-
1,3,6,Andrew Buckley,James Outman,2 Seam,84,Called Strike,-
1,4,1,Andrew Buckley,Matt Smith,2 Seam,86.1,Called Strike,-
1,4,2,Andrew Buckley,Matt Smith,2 Seam,85,Hit Into Play - Out,60.2
1,5,1,Ty Fox,Tyrus Greene,4 Seam,88.1,Swinging Strike,-
1,5,2,Ty Fox,Tyrus Greene,4 Seam,88.6,Foul,-
1,5,3,Ty Fox,Tyrus Greene,Changeup,83.5,Ball,-
1,5,4,Ty Fox,Tyrus Greene,4 Seam,88.4,Ball,-
1,5,5,Ty Fox,Tyrus Greene,2 Seam,87.4,Ball,-
1,5,6,Ty Fox,Tyrus Greene,4 Seam,87.9,Hit Into Play - Out,87.3
1,6,1,Ty Fox,Tanner Dodson,2 Seam,90.1,Hit Into Play,87.9
1,7,1,Ty Fox,Andrew Vaughn,4 Seam,88.4,Hit Into Play - Out,77.3
1,8,1,Ty Fox,Jonah Davis,Changeup,82.9,Foul,-
1,8,2,Ty Fox,Jonah Davis,2 Seam,88.4,Foul,-
1,8,3,Ty Fox,Jonah Davis,Changeup,83.7,Swinging Strike,-
2,9,1,Andrew Buckley,PJ Floyd,Changeup,81.5,Ball,-
2,9,2,Andrew Buckley,PJ Floyd,2 Seam,84.4,Ball,-
2,9,3,Andrew Buckley,PJ Floyd,2 Seam,84.9,Ball,-
2,9,4,Andrew Buckley,PJ Floyd,2 Seam,84.4,Called Strike,-
2,9,5,Andrew Buckley,PJ Floyd,2 Seam,85.3,Foul,-
2,9,6,Andrew Buckley,PJ Floyd,2 Seam,84.9,Foul,-
2,9,7,Andrew Buckley,PJ Floyd,Changeup,79.8,Ball,-
2,10,1,Andrew Buckley,Steven Moretto,2 Seam,83.2,Ball,-
2,10,2,Andrew Buckley,Steven Moretto,2 Seam,82.4,Ball,-
2,10,3,Andrew Buckley,Steven Moretto,2 Seam,83.9,Foul,-
2,10,4,Andrew Buckley,Steven Moretto,2 Seam,81.7,Ball,-
2,10,5,Andrew Buckley,Steven Moretto,2 Seam,81.8,Hit Into Play,72.3
2,11,1,Andrew Buckley,Raul Ortiz,2 Seam,82.3,Called Strike,-
2,11,2,Andrew Buckley,Raul Ortiz,2 Seam,83,Hit Into Play,92.4
2,12,1,Andrew Buckley,Josh Urps,2 Seam,83.1,Called Strike,-
2,12,2,Andrew Buckley,Josh Urps,Changeup,75.6,Ball,-
2,12,3,Andrew Buckley,Josh Urps,2 Seam,83,Ball,-
