Inn,AB,Pitch,Pitcher,Batter,Type,Pitch Spd,Result,Hit Spd
1,1,1,Joey Matulovich,Brennon Anderson,2 Seam,89.8,Foul,-
1,1,2,Joey Matulovich,Brennon Anderson,2 Seam,90.7,Ball,-
1,1,3,Joey Matulovich,Brennon Anderson,2 Seam,89.6,Ball,-
1,1,4,Joey Matulovich,Brennon Anderson,2 Seam,89.7,Foul,-
1,1,5,Joey Matulovich,Brennon Anderson,2 Seam,90.5,Swinging Strike,-
1,2,1,Joey Matulovich,Daniel Schneemann,Changeup,79,Swinging Strike,-
1,2,2,Joey Matulovich,Daniel Schneemann,2 Seam,90.8,Hit Into Play - Out,-
1,3,1,Joey Matulovich,Keaton Kringlen,2 Seam,90.5,Foul,-
1,3,2,Joey Matulovich,Keaton Kringlen,2 Seam,90.3,Foul,-
1,3,3,Joey Matulovich,Keaton Kringlen,Slider,78.2,Ball,-
1,3,4,Joey Matulovich,Keaton Kringlen,2 Seam,91.2,Ball,-
1,3,5,Joey Matulovich,Keaton Kringlen,2 Seam,89.3,Hit Into Play - Out,-
1,4,1,Alex Perron,Tyrus Greene,2 Seam,86,Ball,-
1,4,2,Alex Perron,Tyrus Greene,2 Seam,85.8,Ball,-
1,4,3,Alex Perron,Tyrus Greene,4 Seam,87,Called Strike,-
1,4,4,Alex Perron,Tyrus Greene,4 Seam,86.5,Hit Into Play - Out,-
1,5,1,Alex Perron,Tanner Dodson,4 Seam,86.5,Ball,-
1,5,2,Alex Perron,Tanner Dodson,2 Seam,86.6,Ball,-
1,5,3,Alex Perron,Tanner Dodson,4 Seam,86.5,Hit Into Play,-
1,6,1,Alex Perron,Andrew Vaughn,2 Seam,86.4,Hit Into Play - Out,-
2,7,1,Joey Matulovich,Brock Hale,2 Seam,88.6,Foul,-
2,7,2,Joey Matulovich,Brock Hale,2 Seam,90.7,Called Strike,-
2,7,3,Joey Matulovich,Brock Hale,Curve,76.5,Hit Into Play - Out,-
2,8,1,Joey Matulovich,Nate Favero,2 Seam,90.1,Foul,-
2,8,2,Joey Matulovich,Nate Favero,2 Seam,91.4,Foul,-
2,8,3,Joey Matulovich,Nate Favero,2 Seam,89.3,Hit Into Play,-
2,9,1,Joey Matulovich,Kyle Dean,Changeup,76.6,Ball,-
2,9,2,Joey Matulovich,Kyle Dean,2 Seam,88.3,Ball,-
2,9,3,Joey Matulovich,Kyle Dean,2 Seam,88.3,Called Strike,-
