Inn,AB,Pitch,Pitcher,Batter,Type,Pitch Spd,Result,Hit Spd
1,1,1,Jared Horn,Cal Stevenson,2 Seam,89.7,Ball,-
1,1,2,Jared Horn,Cal Stevenson,2 Seam,90,Called Strike,-
1,1,3,Jared Horn,Cal Stevenson,2 Seam,84.6,Called Strike,-
1,1,5,Jared Horn,Cal Stevenson,2 Seam,89.7,Hit Into Play - Out,-
1,2,1,Jared Horn,Alfonso Rivas III,Changeup,83.5,Ball,-
1,2,2,Jared Horn,Alfonso Rivas III,2 Seam,89.4,Called Strike,-
1,2,4,Jared Horn,Alfonso Rivas III,2 Seam,90.5,Ball,-
1,2,5,Jared Horn,Alfonso Rivas III,2 Seam,89.6,Ball,-
1,3,1,Jared Horn,Nick Quintana,2 Seam,91.8,Called Strike,-
1,3,2,Jared Horn,Nick Quintana,2 Seam,90.4,Ball,-
1,3,3,Jared Horn,Nick Quintana,Curve,77,Swinging Strike,-
1,3,4,Jared Horn,Nick Quintana,Curve,76.7,Foul,-
1,3,5,Jared Horn,Nick Quintana,Curve,77.1,Ball,-
1,3,6,Jared Horn,Nick Quintana,2 Seam,91,Hit Into Play - Out,-
1,4,1,Michael Flynn,Tyrus Greene,2 Seam,91.2,Ball,-
1,4,2,Michael Flynn,Tyrus Greene,2 Seam,89.9,Hit Into Play,-
1,5,1,Michael Flynn,Andrew Vaughn,Curve,79.6,Ball,-
1,5,2,Michael Flynn,Andrew Vaughn,2 Seam,90.7,Ball,-
1,5,3,Michael Flynn,Andrew Vaughn,2 Seam,90.9,Foul,-
1,5,4,Michael Flynn,Andrew Vaughn,2 Seam,91.8,Ball,-
1,5,5,Michael Flynn,Andrew Vaughn,2 Seam,90.3,Ball,-
1,6,1,Michael Flynn,Tanner Dodson,2 Seam,90.8,Ball,-
1,6,2,Michael Flynn,Tanner Dodson,Changeup,82.4,Swinging Strike,-
1,6,3,Michael Flynn,Tanner Dodson,2 Seam,91.5,Foul,-
1,6,4,Michael Flynn,Tanner Dodson,Slider,80.4,Foul,-
1,6,5,Michael Flynn,Tanner Dodson,2 Seam,91.8,Foul,-
1,6,6,Michael Flynn,Tanner Dodson,Changeup,83.2,Foul,70.4
1,6,7,Michael Flynn,Tanner Dodson,2 Seam,91.8,Swinging Strike,-
1,7,1,Michael Flynn,Jonah Davis,2 Seam,91.5,Ball,-
1,7,2,Michael Flynn,Jonah Davis,Curve,80.8,Called Strike,-
1,7,3,Michael Flynn,Jonah Davis,2 Seam,90.9,Ball,-
1,7,4,Michael Flynn,Jonah Davis,Curve,78.7,Foul,-
1,7,5,Michael Flynn,Jonah Davis,2 Seam,92,Ball,-
1,7,6,Michael Flynn,Jonah Davis,2 Seam,91,Swinging Strike,-
1,8,1,Michael Flynn,Sam Wezniak,Curve,79.6,Ball,-
1,8,2,Michael Flynn,Sam Wezniak,2 Seam,89.5,Foul,97.6
1,8,3,Michael Flynn,Sam Wezniak,2 Seam,90.4,Hit Into Play - Out,-
2,9,1,Jared Horn,Cesar Salazar,2 Seam,88.2,Called Strike,-
2,9,2,Jared Horn,Cesar Salazar,2 Seam,82.1,Ball,-
2,9,3,Jared Horn,Cesar Salazar,2 Seam,91,Foul,-
2,9,4,Jared Horn,Cesar Salazar,4 Seam,83.8,Foul,-
2,9,5,Jared Horn,Cesar Salazar,4 Seam,89.7,Foul,-
2,9,6,Jared Horn,Cesar Salazar,Curve,76.9,Foul,-
2,9,7,Jared Horn,Cesar Salazar,Curve,75.5,Hit Into Play - Out,48.2
2,10,1,Jared Horn,Cameron Cannon,2 Seam,91,Ball,-
2,10,2,Jared Horn,Cameron Cannon,2 Seam,88.8,Called Strike,-
2,10,3,Jared Horn,Cameron Cannon,2 Seam,88.2,Called Strike,-
2,10,4,Jared Horn,Cameron Cannon,2 Seam,93.2,Ball,-
2,10,5,Jared Horn,Cameron Cannon,Curve,76.9,Foul,45.1
2,10,6,Jared Horn,Cameron Cannon,Curve,76.1,Ball,-
2,10,7,Jared Horn,Cameron Cannon,2 Seam,88.8,Hit Into Play - Out,77.8
2,11,1,Jared Horn,Tate Soderstrom,2 Seam,91,Called Strike,-
2,11,2,Jared Horn,Tate Soderstrom,2 Seam,90.3,Called Strike,-
2,11,3,Jared Horn,Tate Soderstrom,Changeup,83.3,Ball,-
2,11,4,Jared Horn,Tate Soderstrom,Curve,77.2,Foul,-
2,11,5,Jared Horn,Tate Soderstrom,2 Seam,91.2,Foul,-
2,11,6,Jared Horn,Tate Soderstrom,Curve,76.6,Hit Into Play - Out,-
2,12,1,Michael Flynn,Max Flower,2 Seam,89.5,Ball,-
2,12,2,Michael Flynn,Max Flower,2 Seam,89.2,Foul,-
2,12,3,Michael Flynn,Max Flower,2 Seam,91.2,Called Strike,-
